LotArea,735
GrLivArea,612
TotalBsmtSF,528
LotFrontage,496
1stFlrSF,465
GarageArea,452
BsmtUnfSF,433
BsmtFinSF1,419
OverallQual,339
YearBuilt,326
OpenPorchSF,301
MasVnrArea,280
2ndFlrSF,273
GarageYrBlt,272
YearRemodAdd,255
WoodDeckSF,253
MoSold,245
OverallCond,234
BsmtExposure,159
YrSold,146
TotRmsAbvGrd,109
Neighborhood_19,108
Condition1_1,107
BsmtFinType1,106
ScreenPorch,104
KitchenQual,103
GarageCars,96
FireplaceQu,95
BsmtQual,94
BedroomAbvGr,93
Fireplaces,89
Neighborhood_3,84
MSSubClass_1,71
LotConfig_1,69
LotShape_1,68
ExterQual,64
FullBath,61
Exterior1st_5,60
SaleCondition_2,58
Functional_1,58
SaleCondition_1,58
BsmtFinSF2,56
Neighborhood_16,56
MasVnrType_1,55
GarageFinish,54
BsmtFullBath,54
Neighborhood_9,54
MSSubClass_2,51
LotConfig_4,51
Neighborhood_12,50
EnclosedPorch,50
Exterior1st_1,48
SaleType_2,47
PoolArea,47
LandContour_1,47
LandContour_2,47
HeatingQC,47
Exterior1st_4,43
MSZoning_2,43
MSZoning_1,43
LotConfig_3,43
Neighborhood_4,43
HalfBath,42
Neighborhood_11,39
SaleCondition_3,38
LandContour_4,38
GarageType_1,36
LotShape_2,36
Exterior1st_2,35
MSZoning_3,34
Neighborhood_1,33
BsmtFinType2,33
SaleType_1,33
Neighborhood_6,32
LotConfig_2,31
RoofStyle_1,31
BsmtCond,30
MSZoning_4,30
Neighborhood_20,30
MSSubClass_3,29
SaleCondition_6,29
Neighborhood_7,28
Neighborhood_17,28
ExterCond,27
Condition1_3,27
MSSubClass_8,27
Condition2_1,26
Alley_3,25
Alley_1,24
MSSubClass_4,24
CentralAir_1,24
Condition1_4,23
Exterior2nd_2,23
Exterior2nd_1,23
GarageQual,22
RoofMatl_2,22
MasVnrType_2,21
RoofStyle_2,21
Condition1_2,20
HouseStyle_2,20
Exterior2nd_7,19
Exterior1st_3,19
MSSubClass_13,19
3SsnPorch,19
Neighborhood_5,19
Foundation_1,18
Exterior1st_7,18
Fence_1,18
LandSlope,18
Foundation_2,18
LotShape_3,18
HouseStyle_1,18
MSSubClass_7,18
MSSubClass_9,17
Foundation_3,17
PavedDrive_1,17
MSSubClass_11,17
BldgType_1,17
HouseStyle_3,17
Exterior2nd_5,16
Neighborhood_8,16
GarageType_2,15
KitchenAbvGr,15
BsmtHalfBath,15
MSSubClass_5,14
Neighborhood_13,14
Exterior1st_8,14
Fence_2,14
MasVnrType_3,14
Neighborhood_10,13
CentralAir_2,13
LotConfig_5,13
Electrical_1,12
Exterior2nd_3,11
Exterior2nd_6,11
Electrical_3,10
HouseStyle_6,10
GarageCond,9
LowQualFinSF,9
Exterior2nd_4,9
Functional_6,9
PavedDrive_2,8
RoofMatl_1,8
MiscFeature_1,8
GarageType_3,8
Exterior1st_9,8
RoofMatl_6,8
MSZoning_5,7
LandContour_3,7
Neighborhood_2,7
Fence_3,7
GarageType_4,7
Neighborhood_14,7
Alley_2,7
BldgType_3,6
Neighborhood_18,6
BldgType_4,6
MSSubClass_12,6
PoolQC,6
LotShape_4,5
Neighborhood_22,5
BldgType_5,5
Exterior1st_6,5
Exterior2nd_9,5
PavedDrive_3,5
MSSubClass_10,5
Neighborhood_24,5
Functional_7,5
Condition1_8,5
Heating_5,4
Exterior2nd_15,4
MiscFeature_2,4
Heating_2,4
Condition1_5,4
MasVnrType_4,4
Exterior1st_10,4
Exterior2nd_11,4
Heating_3,4
MSSubClass_6,4
Exterior2nd_8,4
Exterior2nd_12,4
Exterior1st_11,4
SaleType_4,3
Fence_4,3
Electrical_4,3
Condition2_5,3
Foundation_5,3
Functional_4,3
Condition2_2,3
HouseStyle_7,3
SaleType_3,3
GarageType_5,3
RoofStyle_5,3
MasVnrType_5,2
RoofStyle_3,2
Functional_5,2
BldgType_2,2
Neighborhood_15,2
MiscVal,2
Functional_2,2
Functional_3,2
Exterior2nd_14,2
Foundation_6,2
Exterior2nd_10,2
HouseStyle_5,2
RoofMatl_8,2
Condition2_4,2
Street_2,1
Exterior1st_14,1
Condition2_3,1
Exterior1st_13,1
SaleCondition_5,1
Utilities,1
RoofMatl_7,1
GarageType_6,1
MSSubClass_15,1
SaleType_6,1
Neighborhood_23,1
Electrical_2,1
RoofMatl_4,1
HouseStyle_8,1
MiscFeature_4,1
Heating_1,1
Electrical_5,1
Exterior1st_12,1
HouseStyle_4,1
RoofStyle_4,1
SaleType_9,1
Street_1,1
